Smiles,MP
c1ccc(-c2ccccc2)cc1,68.5
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,203.3
c1ccc(-c2cc(-c3ccccc3)cc(-c3c4ccccc4c(-c4cc(-c5ccccc5)cc(-c5ccccc5)c4)c4ccccc34)c2)cc1,231.0
c1ccc(-c2cc(-c3ccccc3)cc(-c3ccccc3)c2)cc1,172.0
c1ccc(-c2ccccc2-c2ccccc2)cc1,59.0
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,85.0
c1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,431.7
c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1,309.5
c1ccc(-c2ccc(-c3ccccc3)c(-c3ccccc3)c2)cc1,110.3
c1ccc(-c2cccc(-c3ccccc3)c2-c2ccccc2)cc1,157.3
c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccccc6)cc5)cc4)cc3)cc2)cc1,455.4
c1ccc(-c2ccc(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,190.7
c1ccc(-c2cc(-c3ccccc3)c(-c3ccccc3)cc2-c2ccccc2)cc1,264.5
c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2)cc1,119.4
c1ccc(-c2cc(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,240.4
c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1,391.4
c1ccc(-c2cccc(-c3cccc(-c4ccccc4)c3)c2)cc1,97.0
c1ccc(-c2ccc(-c3c4ccccc4c(-c4ccc(-c5ccccc5)cc4)c4ccccc34)cc2)cc1,415.0
c1ccc(-c2ccc(-c3cc(-c4ccc(-c5ccccc5)cc4)cc(-c4ccc(-c5ccccc5)cc4)c3)cc2)cc1,235.2
c1ccc(-c2ccc(-c3ccccc3-c3ccccc3)cc2)cc1,126.8
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5ccccc5)c4)c3)c2)cc1,107.5
c1ccc(-c2ccc(-c3cccc(-c4ccccc4)c3)cc2)cc1,156.7
c1ccc(-c2ccc(-c3c4ccccc4c(-c4ccccc4)c4ccccc34)cc2)cc1,273.5
c1ccc(-c2cccc(-c3c4ccccc4c(-c4cccc(-c5ccccc5)c4)c4ccccc34)c2)cc1,267.0
c1ccc(-c2cc(-c3ccccc3)cc(-c3ccc(-c4c5ccccc5c(-c5ccc(-c6cc(-c7ccccc7)cc(-c7ccccc7)c6)cc5)c5ccccc45)cc3)c2)cc1,340.0
c1ccc(-c2cc(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c2)cc1,221.9
c1ccc(-c2cc(-c3ccccc3)cc(-c3c4ccccc4c(-c4c5ccccc5c(-c5cc(-c6ccccc6)cc(-c6ccccc6)c5)c5ccccc45)c4ccccc34)c2)cc1,427.0
c1ccc(-c2cccc(-c3ccccc3-c3ccccc3)c2)cc1,88.6
c1ccc(-c2ccc(-c3c4ccccc4cc4ccccc34)cc2)cc1,212.7
c1ccc(-c2cc(-c3cccc(-c4c5ccccc5c(-c5ccccc5)c5ccccc45)c3)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,260.0
c1ccc(-c2ccc(-c3cccc4ccccc34)cc2)cc1,145.6
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6ccccc6)c5)c4)c3)c2)cc1,146.0
c1ccc(-c2ccc(-c3cccc(-c4ccc(-c5ccccc5)cc4)c3)cc2)cc1,266.6
c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2-c2ccccc2-c2ccccc2)cc1,215.9
c1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)c(-c3ccc(-c4ccc(-c5c(-c6ccccc6)c(-c6ccccc6)c(-c6ccccc6)c(-c6ccccc6)c5-c5ccccc5)cc4)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1,441.0
c1ccc(-c2ccccc2-c2c3ccccc3c(-c3cccc4ccccc34)c3ccccc23)cc1,264.0
c1ccc(-c2ccccc2-c2ccc(-c3ccc(-c4ccccc4-c4ccccc4)cc3)cc2)cc1,193.8
c1ccc(-c2cccc(-c3ccc(-c4cccc(-c5ccccc5)c4)cc3)c2)cc1,243.1
c1ccc(-c2ccccc2-c2cccc3ccccc23)cc1,113.3
c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2-c2ccccc2)cc1,163.0
c1ccc(-c2ccccc2-c2c3ccccc3cc3ccccc23)cc1,119.8
c1ccc(-c2ccc(-c3ccccc3-c3ccc(-c4ccccc4)cc3)cc2)cc1,181.8
c1ccc(-c2cccc(-c3ccc(-c4ccc(-c5cccc(-c6ccccc6)c5)cc4)cc3)c2)cc1,284.0
