name;smiles;InChIKey;molecular_formula;boiling_point
1,1,1,2,2,3,4,5,5,6,6,6-dodecafluoro-3,4-bis(trifluoromethyl)hexane;C(C(C(C(F)(F)F)(F)F)(C(F)(F)F)F)(C(C(F)(F)F)(F)F)(C(F)(F)F)F;AILNJPONTDNFHN-UHFFFAOYSA-N;C8F18;103.75
1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16-tetratriacontafluorohexadecane;C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F;AQPUCGPFMVEJGS-UHFFFAOYSA-N;C16F34;239.0
Perfluordecan;C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F;BPHQIXJDBIHMLT-UHFFFAOYSA-N;C10F22;144.20000000000002
1,1,1,2,3,3,3-heptafluoro-2-(trifluoromethyl)propane;C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)F;COQIQRBKEGPRSG-UHFFFAOYSA-N;C4F10;-0.3
1,1,1,2,2,3,3,4,5,5,6,6,6-tridecafluoro-4-(trifluoromethyl)hexane;C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(C(F)(F)F)F;CPMLSIADGFUFBX-UHFFFAOYSA-N;C7F16;81.5
1,1,1,3,3,3-hexafluoro-2,2-bis(trifluoromethyl)propane;C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)C(F)(F)F;GLSWXDROFHXXOQ-UHFFFAOYSA-N;C5F12;30.1
1,1,1,2,3,3,5,5,5-nonafluoro-2,4,4-tris(trifluoromethyl)pentane;C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)(C(F)(F)F)C(F)(F)F;GTTNGNCJHFPTQV-UHFFFAOYSA-N;C8F18;104.0
1,1,1,2,2,3,4,4,5,5,5-undecafluoro-3-(trifluoromethyl)pentane;C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(C(F)(F)F)F;GXSFAIDPYIEIEF-UHFFFAOYSA-N;C6F14;58.18000000000001
perfluorobutane;C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F;KAVGMUDTWQVPDF-UHFFFAOYSA-N;C4F10;-1.2999999999999772
perfluoroheptane;C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F;LGUZHRODIJCVOC-UHFFFAOYSA-N;C7F16;82.35000000000002
perfluoroisopentane;C(C(C(F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F;MPEFSWGYIJNMCW-UHFFFAOYSA-N;C5F12;30.060000000000002
perfluoro(2,3-dimethylbutane);C(C(C(F)(F)F)(C(F)(F)F)F)(C(F)(F)F)(C(F)(F)F)F;NBQYGIPVNCVJJP-UHFFFAOYSA-N;C6F14;57.87500000000001
perfluoropentane;C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F;NJCBUSHGCBERSK-UHFFFAOYSA-N;C5F12;29.3
1,1,1,2,2,4,4,5,5,5-decafluoro-3-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-3-(trifluoromethyl)pentane;C(C(C(F)(F)F)(C(F)(F)F)F)(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)C(F)(F)F;NNZABWQPYXLJGH-UHFFFAOYSA-N;C9F20;135.5
1,1,1,2,3,3,4,4,5,5,6,6,7,8,8,8-hexadecafluoro-2,7-bis(trifluoromethyl)octane;C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F;OBAVAMUHCSFDSY-UHFFFAOYSA-N;C10F22;144.1
1,1,1,2,2,3,3,4,5,5,6,6,6-tridecafluoro-4-(1,1,2,2,2-pentafluoroethyl)hexane;C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)F;QOQMLJWACJJWRV-UHFFFAOYSA-N;C8F18;103.0
1,1,1,2,2,3,3,3-octafluoropropane;C(C(F)(F)F)(C(F)(F)F)(F)F;QYSGYZVSCZSLHT-UHFFFAOYSA-N;C3F8;-37.499999999999986
1,1,1,2,2,3,3,4,5,5,5-undecafluoro-4-(trifluoromethyl)pentane;C(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F;ROVMKEZVKFJNBD-UHFFFAOYSA-N;C6F14;57.605000000000025
tetrafluoromethane;C(F)(F)(F)F;TXEYQDLBPFQVAA-UHFFFAOYSA-N;CF4;-127.93999999999997
perfluorononane;C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F;UVWPNDVAQBNQBG-UHFFFAOYSA-N;C9F20;125.30000000000001
1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-tetracosafluoroundecane;C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F;VCIVYCHKSHULON-UHFFFAOYSA-N;C11F24;160.8
Hexafluoroethane;C(C(F)(F)F)(F)(F)F;WMIYKQLTONQJES-UHFFFAOYSA-N;C2F6;-78.75
1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-hexacosafluorododecane;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F;WNZGTRLARPEMIG-UHFFFAOYSA-N;C12F26;178.0
1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,13-octacosafluorotridecane;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F;XJRHWVMSUNRDCA-UHFFFAOYSA-N;C13F28;194.5
1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-octadecafluorooctane;C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F;YVBBRRALBYAZBM-UHFFFAOYSA-N;C8F18;103.45000000000002
perfluorohexane;C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F;ZJIJAJXFLBMLCK-UHFFFAOYSA-N;C6F14;57.200000000000024
Heptafluor-2,2,3-tris-trifluormethyl-butan;C(C(C(F)(F)F)(C(F)(F)F)F)(C(F)(F)F)(C(F)(F)F)C(F)(F)F;ZKJTZMGEXCUNIE-UHFFFAOYSA-N;C7F16;82.2
